nome,preco,cidade,uf,crp,url,cidade_slug,regiao,preco_raw
Dr. João Palma Filho,350.0,São Paulo,SP,CRP 06/146528,https://www.doctoralia.com.br/joao-palma-filho/psicologo-psicanalista/sao-paulo,sao-paulo-sp,"R. Cincinato Braga 340 - 5º Andar, São Paulo",r$ 350
"51
							opiniões",350.0,São Paulo,SP,CRP 06/146528,https://www.doctoralia.com.br/joao-palma-filho/psicologo-psicanalista/sao-paulo#profile-reviews,sao-paulo-sp,"R. Cincinato Braga 340 - 5º Andar, São Paulo",r$ 350
Dr. Guilherme Barati,350.0,São Paulo,SP,,https://www.doctoralia.com.br/guilherme-barati/psicologo/sao-paulo,sao-paulo-sp,"Av.  Paulista, 2064, São Paulo",R$ 350
"30
							opiniões",350.0,São Paulo,SP,,https://www.doctoralia.com.br/guilherme-barati/psicologo/sao-paulo#profile-reviews,sao-paulo-sp,"Av.  Paulista, 2064, São Paulo",R$ 350
Dr. Ravik Rocha,220.0,São Paulo,SP,CRP-11/15375,https://www.doctoralia.com.br/ravik-rocha/psicologo/fortaleza,sao-paulo-sp,"Rua Bela Cintra - Consolação, São Paulo - SP, Brasil, São Paulo",R$ 220
"35
							opiniões",220.0,São Paulo,SP,CRP-11/15375,https://www.doctoralia.com.br/ravik-rocha/psicologo/fortaleza#profile-reviews,sao-paulo-sp,"Rua Bela Cintra - Consolação, São Paulo - SP, Brasil, São Paulo",R$ 220
Michelle Prudêncio de Abreu,400.0,São Paulo,SP,CRP SP 163407,https://www.doctoralia.com.br/michelle-prudencio-de-abreu/psicologo/sao-paulo,sao-paulo-sp,"Rua Bom Sucesso, 220, São Paulo",R$ 400
"8
							opiniões",400.0,São Paulo,SP,CRP SP 163407,https://www.doctoralia.com.br/michelle-prudencio-de-abreu/psicologo/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Bom Sucesso, 220, São Paulo",R$ 400
Dr. Anderson  Botan,180.0,São Paulo,SP,CRP SP 224822,https://www.doctoralia.com.br/anderson-botan/psicologo/sao-caetano-do-sul,sao-paulo-sp,"Rua Manoel Coelho, 600 - loja 25, São Caetano do Sul",r$ 180
"4
							opiniões",180.0,São Paulo,SP,CRP SP 224822,https://www.doctoralia.com.br/anderson-botan/psicologo/sao-caetano-do-sul#profile-reviews,sao-paulo-sp,"Rua Manoel Coelho, 600 - loja 25, São Caetano do Sul",r$ 180
Dra. Cristiana Travassos,250.0,São Paulo,SP,CRP SP 87972,https://www.doctoralia.com.br/cristiana-travassos/psicologo/sao-paulo,sao-paulo-sp,"Rua Henri Dunant 965, São Paulo",R$ 250
"8
							opiniões",250.0,São Paulo,SP,CRP SP 87972,https://www.doctoralia.com.br/cristiana-travassos/psicologo/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Henri Dunant 965, São Paulo",R$ 250
Maria Clara Mendes Vasconi,200.0,São Paulo,SP,CRP SP 186835,https://www.doctoralia.com.br/maria-clara-mendes-vasconi/psicologo-psicanalista/sao-paulo,sao-paulo-sp,"Rua Artur de Azevedo 1767, São Paulo",R$ 200
"4
							opiniões",200.0,São Paulo,SP,CRP SP 186835,https://www.doctoralia.com.br/maria-clara-mendes-vasconi/psicologo-psicanalista/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Artur de Azevedo 1767, São Paulo",R$ 200
Dra. Lilian Cristina de Freitas dos Santos,200.0,São Paulo,SP,CRP SP 87790,https://www.doctoralia.com.br/lilian-cristina-de-freitas-dos-santos/psicologo/sao-paulo,sao-paulo-sp,"Av. Brig. Faria Lima, 1461, São Paulo",R$ 200
"5
							opiniões",200.0,São Paulo,SP,CRP SP 87790,https://www.doctoralia.com.br/lilian-cristina-de-freitas-dos-santos/psicologo/sao-paulo#profile-reviews,sao-paulo-sp,"Av. Brig. Faria Lima, 1461, São Paulo",R$ 200
Gabriela de Almeida Martins,130.0,São Paulo,SP,CRP RJ 78109,https://www.doctoralia.com.br/gabriela-de-almeida-martins/psicologo-psicopedagogo/fortaleza,sao-paulo-sp,"Avenida Paulista, 100, São Paulo",R$ 130
"16
							opiniões",130.0,São Paulo,SP,CRP RJ 78109,https://www.doctoralia.com.br/gabriela-de-almeida-martins/psicologo-psicopedagogo/fortaleza#profile-reviews,sao-paulo-sp,"Avenida Paulista, 100, São Paulo",R$ 130
