nome,preco,cidade,uf,crp,url,cidade_slug,regiao,preco_raw
Dr. Tiago Marinho,490.0,São Paulo,SP,CRM SP 256758,https://www.doctoralia.com.br/tiago-marinho/psiquiatra/rio-de-janeiro,sao-paulo-sp,"Telemedicina, São Paulo",r$ 490
"421
							opiniões",490.0,São Paulo,SP,CRM SP 256758,https://www.doctoralia.com.br/tiago-marinho/psiquiatra/rio-de-janeiro#profile-reviews,sao-paulo-sp,"Telemedicina, São Paulo",r$ 490
Dra. Maria Beatriz Parra Macedo,490.0,São Paulo,SP,CRM SP 245994,https://www.doctoralia.com.br/maria-beatriz-parra-macedo/psiquiatra/sao-paulo,sao-paulo-sp,"Rua Haddock Lobo 578 Térreo, São Paulo",R$ 490
"68
							opiniões",490.0,São Paulo,SP,CRM SP 245994,https://www.doctoralia.com.br/maria-beatriz-parra-macedo/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Haddock Lobo 578 Térreo, São Paulo",R$ 490
Dr. Pedro Camargo Matuck,600.0,São Paulo,SP,CRM SP 224088,https://www.doctoralia.com.br/pedro-camargo-matuck/psiquiatra/sao-paulo,sao-paulo-sp,"Av. Paulista 1048, São Paulo",R$ 600
"375
							opiniões",600.0,São Paulo,SP,CRM SP 224088,https://www.doctoralia.com.br/pedro-camargo-matuck/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Av. Paulista 1048, São Paulo",R$ 600
Dra. Raissa Rodrigues Tartari,700.0,São Paulo,SP,CRM SP 191574,https://www.doctoralia.com.br/raissa-rodrigues-tartari/psiquiatra/sao-paulo,sao-paulo-sp,"Rua Santa Cruz, 722 - sala 803 - Vila Mariana, São Paulo - SP, São Paulo",R$ 700
"157
							opiniões",700.0,São Paulo,SP,CRM SP 191574,https://www.doctoralia.com.br/raissa-rodrigues-tartari/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Santa Cruz, 722 - sala 803 - Vila Mariana, São Paulo - SP, São Paulo",R$ 700
Dr. Rodrigo Luz,970.0,São Paulo,SP,CRM SP 206467 RQE 112934 e 1129341,https://www.doctoralia.com.br/rodrigo-luz/psiquiatra/sao-paulo,sao-paulo-sp,"Avenida Engenheiro Luís Carlos Berrini 105, São Paulo",R$ 970
"51
							opiniões",970.0,São Paulo,SP,CRM SP 206467 RQE 112934 e 1129341,https://www.doctoralia.com.br/rodrigo-luz/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Avenida Engenheiro Luís Carlos Berrini 105, São Paulo",R$ 970
Dr. Jhonas Geraldo Peixoto Flauzino,390.0,São Paulo,SP,CRM SC 37413,https://www.doctoralia.com.br/jhonas-geraldo-peixoto-flauzino/psiquiatra-medico-clinico-geral/sao-paulo,sao-paulo-sp,"Rua Doutor Neto de Araújo, 320 - sala 710, São Paulo",R$ 390
"498
							opiniões",390.0,São Paulo,SP,CRM SC 37413,https://www.doctoralia.com.br/jhonas-geraldo-peixoto-flauzino/psiquiatra-medico-clinico-geral/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Doutor Neto de Araújo, 320 - sala 710, São Paulo",R$ 390
Dra. Julia Peral,450.0,São Paulo,SP,CRM SP 215859,https://www.doctoralia.com.br/julia-peral/psiquiatra/sao-paulo,sao-paulo-sp,"Av. Paulista, São Paulo",R$ 450
"189
							opiniões",450.0,São Paulo,SP,CRM SP 215859,https://www.doctoralia.com.br/julia-peral/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Av. Paulista, São Paulo",R$ 450
Ricardo  Nakamura,700.0,São Paulo,SP,CRM SP 104150,https://www.doctoralia.com.br/ricardo-nakamura/psiquiatra/sao-paulo,sao-paulo-sp,"Rua: Apeninos, 429, São Paulo",R$ 700
"41
							opiniões",700.0,São Paulo,SP,CRM SP 104150,https://www.doctoralia.com.br/ricardo-nakamura/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua: Apeninos, 429, São Paulo",R$ 700
Dr. Ricardo Castilho da Silva,650.0,São Paulo,SP,CRM SP 173247,https://www.doctoralia.com.br/ricardo-castilho-da-silva/psiquiatra/sao-paulo,sao-paulo-sp,"Rua João Moura 661, São Paulo",R$ 650
"27
							opiniões",650.0,São Paulo,SP,CRM SP 173247,https://www.doctoralia.com.br/ricardo-castilho-da-silva/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua João Moura 661, São Paulo",R$ 650
Dr. Carlos Peixoto,250.0,São Paulo,SP,CRM SP 182475,https://www.doctoralia.com.br/carlos-peixoto-3/psiquiatra/sao-paulo,sao-paulo-sp,"Av. Brig. Faria Lima 1461, São Paulo",R$ 250
"188
							opiniões",250.0,São Paulo,SP,CRM SP 182475,https://www.doctoralia.com.br/carlos-peixoto-3/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Av. Brig. Faria Lima 1461, São Paulo",R$ 250
Dr. Izio Klein,1000.0,São Paulo,SP,CRM RJ 916862,https://www.doctoralia.com.br/izio-klein/psiquiatra/sao-paulo,sao-paulo-sp,"Av. Antártica 675 - Conjunto 1705 - Barra Funda, São Paulo",R$ 1.000
"132
							opiniões",1000.0,São Paulo,SP,CRM RJ 916862,https://www.doctoralia.com.br/izio-klein/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Av. Antártica 675 - Conjunto 1705 - Barra Funda, São Paulo",R$ 1.000
Dr. Caio  Montefusco,500.0,São Paulo,SP,CRM SP 213709,https://www.doctoralia.com.br/caio-montefusco/psiquiatra/sao-paulo,sao-paulo-sp,"Rua Cardoso de Almeida 1506, São Paulo",R$ 500
"74
							opiniões",500.0,São Paulo,SP,CRM SP 213709,https://www.doctoralia.com.br/caio-montefusco/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Cardoso de Almeida 1506, São Paulo",R$ 500
Dra. Júlia Ramos Oliveira,700.0,São Paulo,SP,CRM SP 195940,https://www.doctoralia.com.br/julia-ramos-oliveira/psiquiatra/piracicaba,sao-paulo-sp,"Rua Sena Madureira,151, sala 1005, São Paulo",R$ 700
"16
							opiniões",700.0,São Paulo,SP,CRM SP 195940,https://www.doctoralia.com.br/julia-ramos-oliveira/psiquiatra/piracicaba#profile-reviews,sao-paulo-sp,"Rua Sena Madureira,151, sala 1005, São Paulo",R$ 700
Dra. Ana Ágata Keinert,550.0,São Paulo,SP,CRM SP 191484,https://www.doctoralia.com.br/ana-agata-keinert/psiquiatra/sao-paulo,sao-paulo-sp,"Rua Dr Bacelar, 173, São Paulo",R$ 550
"24
							opiniões",550.0,São Paulo,SP,CRM SP 191484,https://www.doctoralia.com.br/ana-agata-keinert/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Dr Bacelar, 173, São Paulo",R$ 550
Dr. Marco Aurelio Tuena de Oliveira,950.0,São Paulo,SP,CRM: 162833,https://www.doctoralia.com.br/marco-aurelio-tuena-de-oliveira/psiquiatra/sao-paulo,sao-paulo-sp,"Rua Desembargador Herotides da Silva Lima, 105, São Paulo",R$ 950
"113
							opiniões",950.0,São Paulo,SP,CRM: 162833,https://www.doctoralia.com.br/marco-aurelio-tuena-de-oliveira/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Desembargador Herotides da Silva Lima, 105, São Paulo",R$ 950
Dra. Maria Luisa Castro,490.0,São Paulo,SP,CRM RJ 1223984,https://www.doctoralia.com.br/maria-luisa-castro/psiquiatra/porto-alegre,sao-paulo-sp,São Paulo,R$ 490
"75
							opiniões",490.0,São Paulo,SP,CRM RJ 1223984,https://www.doctoralia.com.br/maria-luisa-castro/psiquiatra/porto-alegre#profile-reviews,sao-paulo-sp,São Paulo,R$ 490
Dra. Tatiane Vasconcelos,700.0,São Paulo,SP,CRM-SP 177266 RQE (Não encontrado),https://www.doctoralia.com.br/tatiane-vasconcelos/psiquiatra/sao-paulo,sao-paulo-sp,"RUA AFONSO DE FREITAS , 59 - PARAÍSO, São Paulo",R$ 700
"210
							opiniões",700.0,São Paulo,SP,CRM-SP 177266 RQE (Não encontrado),https://www.doctoralia.com.br/tatiane-vasconcelos/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,"RUA AFONSO DE FREITAS , 59 - PARAÍSO, São Paulo",R$ 700
Dr. Thiago de Souza Machado,300.0,São Paulo,SP,CRM AM 7435,https://www.doctoralia.com.br/thiago-de-souza-machado/psiquiatra-medico-clinico-geral/brasilia,sao-paulo-sp,São Paulo,R$ 300
"110
							opiniões",300.0,São Paulo,SP,CRM AM 7435,https://www.doctoralia.com.br/thiago-de-souza-machado/psiquiatra-medico-clinico-geral/brasilia#profile-reviews,sao-paulo-sp,São Paulo,R$ 300
Dr. Lucas Gurgel Tiso,500.0,São Paulo,SP,CRM SP 196898,https://www.doctoralia.com.br/lucas-gurgel-tiso/psiquiatra-medico-clinico-geral-medico-de-familia/sao-paulo,sao-paulo-sp,"Rua Agostinho Rodrigues Filho 550, São Paulo",R$ 500
"114
							opiniões",500.0,São Paulo,SP,CRM SP 196898,https://www.doctoralia.com.br/lucas-gurgel-tiso/psiquiatra-medico-clinico-geral-medico-de-familia/sao-paulo#profile-reviews,sao-paulo-sp,"Rua Agostinho Rodrigues Filho 550, São Paulo",R$ 500
Dra. Beatriz Lima Braga,300.0,São Paulo,SP,CRM CE 25919,https://www.doctoralia.com.br/beatriz-lima-braga/psiquiatra/belo-horizonte,sao-paulo-sp,São Paulo,R$ 300
"50
							opiniões",300.0,São Paulo,SP,CRM CE 25919,https://www.doctoralia.com.br/beatriz-lima-braga/psiquiatra/belo-horizonte#profile-reviews,sao-paulo-sp,São Paulo,R$ 300
Dr. Fernando Loyola,500.0,São Paulo,SP,CRM RJ 1192191,https://www.doctoralia.com.br/fernando-loyola/psiquiatra/sao-paulo,sao-paulo-sp,São Paulo,R$ 500
"221
							opiniões",500.0,São Paulo,SP,CRM RJ 1192191,https://www.doctoralia.com.br/fernando-loyola/psiquiatra/sao-paulo#profile-reviews,sao-paulo-sp,São Paulo,R$ 500
Dr. Luciano Langie Martins,1400.0,São Paulo,SP,CRM SC 11274,https://www.doctoralia.com.br/luciano-langie-martins-2/psiquiatra/belo-horizonte,sao-paulo-sp,"On-line, São Paulo",R$ 1.400
"235
							opiniões",1400.0,São Paulo,SP,CRM SC 11274,https://www.doctoralia.com.br/luciano-langie-martins-2/psiquiatra/belo-horizonte#profile-reviews,sao-paulo-sp,"On-line, São Paulo",R$ 1.400
